tests_id,excTimeJava,excTimeCpp,,avgJava,avg Cpp
150,2540,1861,,,
151,2542,1862,,,
152,2544,1862,,,
153,2544,1858,,,
154,2541,1858,,,
155,2540,1860,,,
156,2541,1862,,,
157,2541,1859,,,
158,2541,1857,,,
159,2542,1858,,,
160,2541,1859,,,
161,2541,1856,,,
162,2545,1857,,,
163,2544,1858,,,
164,2541,1856,,,
165,2542,1859,,,
166,2541,1861,,,
167,2543,1862,,,
168,2542,1860,,,
169,2541,1859,,,
170,2541,1857,,,
171,2614,1864,,,
172,2548,1861,,,
173,2546,1860,,,
174,2546,1861,,,
175,2545,1861,,,
176,2539,1864,,,
177,2543,1857,,,
178,2542,1855,,,
179,2547,1857,,,
180,2544,1858,,,
181,2540,1859,,,
182,2540,1859,,,
183,2542,1857,,,
184,2541,1857,,,
185,2597,1857,,,
186,2545,1858,,,
187,2546,1858,,,
188,2545,1856,,,
189,2548,1856,,,
190,2541,1858,,,
191,2544,1863,,,
192,2544,1862,,,
193,2543,1862,,,
194,2543,1863,,,
195,2541,1864,,,
196,2542,1864,,,
197,2542,1859,,,
198,2541,1857,,,
199,2540,1857,,,
200,2542,1858,,,
201,2591,1856,,,
202,2558,1857,,,
203,2550,1858,,,
204,2544,1858,,,
205,2547,1858,,,
206,2543,1855,,,
207,2540,1857,,,
208,2541,1859,,,
209,2539,1860,,,
210,2545,1860,,,
211,2545,1864,,,
212,2541,1861,,,
213,2541,1862,,,
214,2539,1862,,,
215,2541,1862,,,
216,2541,1861,,,
217,2542,1857,,,
218,2544,1858,,,
219,2545,1858,,,
220,2543,1859,,,
221,2541,1860,,,
222,2542,1861,,,
223,2541,1859,,,
224,2541,1859,,,
225,2543,1857,,,
226,2541,1858,,,
227,2544,1857,,,
228,2543,1858,,,
229,2543,1857,,,
230,2541,1857,,,
231,2541,1864,,,
232,2542,1863,,,
233,2542,1861,,,
234,2542,1864,,,
235,2544,1865,,,
236,2545,1862,,,
237,2544,1859,,,
238,2543,1859,,,
239,2541,1857,,,
240,2541,1857,,,
241,2592,1858,,,
242,2545,1858,,,
243,2546,1857,,,
244,2548,1857,,,
245,2547,1856,,,
246,2541,1858,,,
247,2541,1858,,,
248,2541,1860,,,
249,2541,1860,,,
250,2541,1858,,,
251,2542,1866,,,
252,2542,1863,,,
253,2541,1862,,,
254,2544,1861,,,
255,2543,1861,,,
256,2542,1861,,,
257,2542,1857,,,
258,2542,1856,,,
259,2541,1919,,,
260,2541,1867,,,
261,2541,1862,,,
262,2541,1863,,,
263,2539,1862,,,
264,2543,1862,,,
265,2544,1862,,,
266,2542,1857,,,
267,2542,1857,,,
268,2541,1859,,,
269,2542,1858,,,
270,2540,1856,,,
271,2542,1862,,,
272,2542,1861,,,
273,2541,1860,,,
274,2543,1862,,,
275,2545,1863,,,
276,2542,1863,,,
277,2545,1857,,,
278,2542,1856,,,
279,2541,1857,,,
280,2541,1856,,,
281,2542,1857,,,
282,2541,1857,,,
283,2541,1857,,,
284,2543,1857,,,
285,2545,1856,,,
286,2543,1858,,,
287,2542,1859,,,
288,2544,1860,,,
289,2542,1861,,,
290,2542,1858,,,
291,2543,1867,,,
292,2541,1862,,,
293,2542,1861,,,
294,2543,1862,,,
295,2546,1862,,,
296,2542,1861,,,
297,2539,1859,,,
298,2541,1858,,,
299,2540,1857,,,
300,2542,1859,,,
301,2541,1859,,,
