test_id,excTimeJava,excTimeCpp,,avgJava,avgCpp,,,,,,
309,841,704,,,,,,,,,
310,843,701,,,,,,,,,
311,838,701,,,,,,,,,
312,840,702,,,,,,,,,
313,846,701,,,,,,,,,
314,842,700,,,,,,,,,
315,841,701,,,,,,,,,
316,846,707,,,,,,,,,
317,839,702,,,,,,,,,
318,836,866,,,,,,,,,
319,837,744,,,,,,,,,
320,839,702,,,,,,,,,
321,838,702,,,,,,,,,
322,838,706,,,,,,,,,
323,841,702,,,,,,,,,
324,842,705,,,,,,,,,
325,843,703,,,,,,,,,
326,850,702,,,,,,,,,
327,837,703,,,,,,,,,
328,837,705,,,,,,,,,
329,837,703,,,,,,,,,
330,890,703,,,,,,,,,
331,969,703,,,,,,,,,
332,839,704,,,,,,,,,
333,840,705,,,,,,,,,
334,841,702,,,,,,,,,
335,838,703,,,,,,,,,
336,838,702,,,,,,,,,
337,841,703,,,,,,,,,
338,848,703,,,,,,,,,
339,841,703,,,,,,,,,
340,840,703,,,,,,,,,
341,845,702,,,,,,,,,
342,844,702,,,,,,,,,
343,842,703,,,,,,,,,
344,843,701,,,,,,,,,
345,840,704,,,,,,,,,
346,843,702,,,,,,,,,
347,841,702,,,,,,,,,
348,839,702,,,,,,,,,
349,842,705,,,,,,,,,
350,842,706,,,,,,,,,
351,842,702,,,,,,,,,
352,842,701,,,,,,,,,
353,841,703,,,,,,,,,
354,842,706,,,,,,,,,
355,841,703,,,,,,,,,
356,842,703,,,,,,,,,
357,842,703,,,,,,,,,
358,846,702,,,,,,,,,
359,838,701,,,,,,,,,
360,838,702,,,,,,,,,
361,839,701,,,,,,,,,
362,840,702,,,,,,,,,
363,841,705,,,,,,,,,
364,838,703,,,,,,,,,
365,841,702,,,,,,,,,
366,840,704,,,,,,,,,
367,840,706,,,,,,,,,
368,843,700,,,,,,,,,
369,840,702,,,,,,,,,
370,844,702,,,,,,,,,
371,844,704,,,,,,,,,
372,843,701,,,,,,,,,
373,841,702,,,,,,,,,
374,841,701,,,,,,,,,
375,844,702,,,,,,,,,
376,841,702,,,,,,,,,
377,843,703,,,,,,,,,
378,842,702,,,,,,,,,
379,842,705,,,,,,,,,
380,842,703,,,,,,,,,
381,841,702,,,,,,,,,
382,839,703,,,,,,,,,
383,841,700,,,,,,,,,
384,838,702,,,,,,,,,
385,842,704,,,,,,,,,
386,839,700,,,,,,,,,
387,851,702,,,,,,,,,
388,837,704,,,,,,,,,
389,838,701,,,,,,,,,
390,836,702,,,,,,,,,
391,838,702,,,,,,,,,
392,836,702,,,,,,,,,
393,841,700,,,,,,,,,
394,837,702,,,,,,,,,
395,843,701,,,,,,,,,
396,840,701,,,,,,,,,
397,839,702,,,,,,,,,
398,839,702,,,,,,,,,
399,839,701,,,,,,,,,
400,840,700,,,,,,,,,
401,842,705,,,,,,,,,
402,845,705,,,,,,,,,
403,840,702,,,,,,,,,
404,841,703,,,,,,,,,
405,843,704,,,,,,,,,
406,840,703,,,,,,,,,
407,845,702,,,,,,,,,
408,845,702,,,,,,,,,
409,844,703,,,,,,,,,
410,838,700,,,,,,,,,
411,837,701,,,,,,,,,
